;label;text
0;1;Every time I move my chair closer to talk to him, he keep fidgeting and moving away. Do I smell ?
1;0;Is it even possible to have onsite learning but online exams?
2;0;Hey law students, quick question are we really required to pay taxes as part-time lab assistants? The pay is not that much (not even 50k per day), and then Binus deducts some ‘tax’... Can someone enlighten me?
4;1;The lab assistant makes me feel all mushy inside, but I know my place—I’m nobody special. Bye ‘S’, I wish you all the best.
5;1;Why do I always feel like crying when I’m angry?
6;2;Oh great, now they say the exam’s fully onsite… Let’s speak up, guys
7;1;Can onsite exams be on Saturdays too or just weekdays?
8;1;"
My crush said something offensive to me, it almost made me felt worthless. Is it stupid if I still like him?
"
9;0;share your internship experiences please, my beloved seniors!
10;1;Whoa why can't BIMOB be opened now?
11;1;Oh, so this is how working life feels. Bored, tired, unmotivated. Definitely gonna be the boss after I graduate
12;1;When will I finally get accepted for an internship?
13;2;Ladies, share your thoughts—what makes a woman choose a guy who’s broke? And another question: what if he’s good-looking but poor?
14;1;Hey, help me out—why do I have some classes scheduled at ASM and others at Anggrek? What’s going on here?
15;2;It’s already June—what does that mean?? IT MEANS THE ASSIGNMENT DEADLINES ARE GETTING CLOSE.
16;0;The courses that have nothing to do with Livestream have a ton of credits, and the ones that actually relate to it barely have any.
17;2;I’m so pissed off at the parking guy at ALS. There was clearly an empty spot right in front of me, I had a class starting soon, so I rolled down my window and said, “Sir, that spot’s empty, and I’m running late for a presentation.” It wasn’t blocked by a parallel car, and it wasn’t even a tight space. But he still wouldn’t let me in. He looked at me, saw me pointing at the empty space that was literally right there. Then he goes, “Can’t park there, Miss. It’s crowded behind.” Like, what the hell? What does that have to do with me? So I had to go all the way around and park at Silkwood. And guess what? When I walked to Sunib, the parking lot behind was open :) and still crowded :) freaking ridiculous.
18;0;Sometimes playing Mobile Legends makes me think—what if family worked like a team in a game? Parents would be like the support or tank, assisting and giving stability to their child as the core/damage dealer so they can “level up” fast, not fall behind, and win the battles of life.
19;0;Looking at the love stories in batch B25, a lot of them seem to be going smoothly... maybe it’s because they had onsite classes? Meanwhile, B24 has been remote for a year and a half and we’ve got zero love stories lmao.
20;0;I’m always the one going to my boyfriend place—whether he’s in Tangerang so we can go back together, or I’m always the one coming over to his house to hang out. He rarely comes to mine, so it feels like I’m putting in too much effort for him. But I can’t really say he’s not trying, because he’s currently looking for a house for us :) What do you guys think?
21;0;What’s the latest time you can park at Binus? Like what time do they lock it at night? I wanna leave my car and go to Moas but I’m scared I won’t be able to get it out.
22;2;I wanna have a baebeeee
23;1;"
she’ll never love u quite like me☺
"
24;0;Aldi Taher is totally my mood, pleaseee. I’d totally vote for him LOL. I don’t even know the other candidates, their only promotion is like one random billboard—zero effort to win over the youth vote.
25;2;"
Idk its been a long time since I ever liked someone, I think i kinda missed the feeling????
"
26;0;I want my final days... to end happily
27;2;So embarrasseddd hmmmm
28;0;I wanna go to campus soon so I can eat Hokben.
29;0;The older I get, the more I realize how important it is to have a partner to talk to, guys.
30;0;What are some of your considerations when joining a new circle, aside from being on the same wavelength? Sorry if this question’s kinda random lol, I’ve just been thinking about it
31;1;Have you guys ever really wanted to make a dancing TikTok, but you're scared someone might find out?
32;0;Hey guys, how do you fill out the logbook? Mine’s still showing “awaiting” on the enrichment website.
33;0;One of my course lecturers once said: “This (class/lecture) is the place for you to make mistakes.” But from the moment we’re born, we’re trained not to make mistakes. Even when we do make them, we often get scolded or punished. Once, the same lecturer asked a student a question, and the student answered with what they thought was right—even though it sounded wrong. Some of the other students laughed, which led the lecturer to say: “Don’t be afraid. Don’t mind your friends’ laughter. Just because they’re laughing doesn’t mean they know the answer either.” Yeah… things like that happen a lot—and probably always will. This is just one of many examples that happen all the time. I don’t even know why it keeps happening. It’s like it’s become part of every generation’s culture. I wonder... if these things didn’t exist, would humans grow into better versions of themselves?
34;0;Is LKC open this Saturday?
35;1;Why are the grades still pending? Feels like texting someone who leaves you on read.
36;2;WHY ARE PEOPLE SO FREAKING LATE
37;0;Does Suncur plan to create a forum for alumni to vent about work?
38;2;Have you ever recognized a special someone’s notification sound, and even after losing contact, you still hear it in your head even though they’re long gone? lol
39;0;I like my own FL (faculty leader). We’ve eaten out, watched movies, even picked each other up. I finally had the guts to confess, and he said he liked me too. But then he added, 'Yeah, I like you — you’re my best mentee.' Nice. Great
40;0;Guys, how many months or years is the internship?
41;1;When will you ever care about me too?
42;1;Please.. is that entrepreneurship lecturer even serious about teaching? Every session we’re told to present something that’s never explained. We don’t even know what we’re supposed to present
43;0;For anyone needing a little healing from the storm of final exams, https://www.youtube.com/watch?v=q0fnqat88IQ
